keys,en,de
"Air Rush","Air Rush","Windstoß"
"Phase Step","Phase Step","Phasenschritt"
"Resize","Resize","Größe"
"Stink Wave","Stink Wave","Stinkwelle"
"Quick Recovery","Quick Recovery","Schnelle Erholung"
"Ability cooldown −10% per rank.","Ability cooldown −10% per rank.","Abklingzeit −10% je Rang."
"Second Wind","Second Wind","Zweiter Atem"
"A further −10% ability cooldown.","A further −10% ability cooldown.","Weitere −10% Abklingzeit."
"Fleet Foot","Fleet Foot","Flinker Fuß"
"Running and ducking +7% per rank. Walking is never affected.","Running and ducking +7% per rank. Walking is never affected.","Rennen und Ducken +7% je Rang. Gehen bleibt unverändert."
"Long Gale","Long Gale","Langer Sturm"
"Air Rush lasts +15% longer per rank.","Air Rush lasts +15% longer per rank.","Windstoß hält +15% länger je Rang."
"Updraft","Updraft","Aufwind"
"Air Rush launches 20% higher.","Air Rush launches 20% higher.","Windstoß startet 20% höher."
"Long Step","Long Step","Weiter Schritt"
"Phase Step reaches +20% further per rank.","Phase Step reaches +20% further per rank.","Phasenschritt reicht +20% weiter je Rang."
"Phase Echo","Phase Echo","Phasenecho"
"Blinking through a wall refunds 1 second of cooldown.","Blinking through a wall refunds 1 second of cooldown.","Ein Sprung durch eine Wand erstattet 1 Sekunde Abklingzeit."
"Held Form","Held Form","Feste Form"
"Small and giant forms last +25% longer per rank.","Small and giant forms last +25% longer per rank.","Klein- und Riesenform halten +25% länger je Rang."
"Scurry","Scurry","Huschen"
"Small form runs and ducks 10% faster.","Small form runs and ducks 10% faster.","Kleinform rennt und duckt 10% schneller."
"Lingering Reek","Lingering Reek","Zäher Gestank"
"Crocodiles flee +20% longer per rank.","Crocodiles flee +20% longer per rank.","Krokodile fliehen +20% länger je Rang."
"Billowing Cloud","Billowing Cloud","Wabernde Wolke"
"The stink wave spreads 25% wider.","The stink wave spreads 25% wider.","Die Stinkwelle breitet sich 25% weiter aus."
